Date,Weekly_Sales
2010-02-05,49750875.98
2010-02-12,48336800.1
2010-02-19,48277902.33
2010-02-26,43970440.65
2010-03-05,46872715.16
2010-03-12,45926841.32
2010-03-19,44989431.42
2010-03-26,44134583.5
2010-04-02,50424232.22
2010-04-09,47365466.31
2010-04-16,45183702.69
2010-04-23,44734552.03
2010-04-30,43706044.18
2010-05-07,48503424.39
2010-05-14,45330146.41
2010-05-21,45120250.64
2010-05-28,47757773.63
2010-06-04,50188767.6
2010-06-11,47826673.98
2010-06-18,47622191.19
2010-06-25,46609279.67
2010-07-02,48917953.47
2010-07-09,47899738.27
2010-07-16,46243964.08
2010-07-23,44889146.07
2010-07-30,44631854.44
2010-08-06,48205253.28
2010-08-13,46464427.88
2010-08-20,47061664.12
2010-08-27,45910212.69
2010-09-03,47194854.46
2010-09-10,45635418.66
2010-09-17,43081750.91
2010-09-24,41359671.97
2010-10-01,42240037.61
2010-10-08,45108084.83
2010-10-15,43151409.44
2010-10-22,43066757.33
2010-10-29,43603288.95
2010-11-05,45782283.73
2010-11-12,46124900.63
2010-11-19,45126774.34
2010-11-26,65821216.26
2010-12-03,49910639.7
2010-12-10,55667840.03
2010-12-17,61821317.85
2010-12-24,80931586.2
2010-12-31,40434740.42
2011-01-07,42776317.46
2011-01-14,40673850.98
2011-01-21,40654860.31
2011-01-28,39600376.5
2011-02-04,46153610.74
2011-02-11,47336816.9
2011-02-18,48716194.66
2011-02-25,44126019.85
2011-03-04,46980864.59
2011-03-11,44628496.3
2011-03-18,44872646.25
2011-03-25,42878001.0
2011-04-01,43459828.12
2011-04-08,45888090.49
2011-04-15,44974193.91
2011-04-22,48676782.6
2011-04-29,43530206.49
2011-05-06,46862068.62
2011-05-13,45446375.35
2011-05-20,44046950.89
2011-05-27,45293673.35
2011-06-03,48772105.36
2011-06-10,47669913.72
2011-06-17,47447755.54
2011-06-24,45885189.93
2011-07-01,47580673.79
2011-07-08,47859714.06
2011-07-15,45516616.88
2011-07-22,45274519.37
2011-07-29,43683474.98
2011-08-05,48016880.04
2011-08-12,46249873.18
2011-08-19,46917761.66
2011-08-26,47417097.58
2011-09-02,45381078.94
2011-09-09,46763760.42
2011-09-16,43794071.65
2011-09-23,42719131.48
2011-09-30,42197389.67
2011-10-07,47212027.93
2011-10-14,44375338.95
2011-10-21,45819680.12
2011-10-28,45856004.32
2011-11-04,48655867.81
2011-11-11,48474277.53
2011-11-18,46439392.44
2011-11-25,66593835.85
2011-12-02,49390609.94
2011-12-09,55561557.73
2011-12-16,60086723.16
2011-12-23,76999773.57
2011-12-30,46044300.91
2012-01-06,44955766.39
2012-01-13,42023513.51
2012-01-20,42082070.32
2012-01-27,39835117.15
2012-02-03,46085809.81
2012-02-10,50010196.6
2012-02-17,50197325.48
2012-02-24,45771879.72
2012-03-02,46861342.89
2012-03-09,47482677.99
2012-03-16,46902365.23
2012-03-23,44994361.91
2012-03-30,45273064.44
2012-04-06,53502476.06
2012-04-13,46629682.72
2012-04-20,45073217.62
2012-04-27,43717315.31
2012-05-04,47124459.51
2012-05-11,46926829.21
2012-05-18,46824854.84
2012-05-25,47892949.14
2012-06-01,48281966.93
2012-06-08,49651327.57
2012-06-15,48412578.62
2012-06-22,47668384.18
2012-06-29,46597343.31
2012-07-06,51253625.62
2012-07-13,46100396.02
2012-07-20,46059876.27
2012-07-27,44097388.27
2012-08-03,47486123.19
2012-08-10,47403826.18
2012-08-17,47355393.13
2012-08-24,47449420.62
2012-08-31,47159931.47
2012-09-07,48330449.03
2012-09-14,44226897.92
2012-09-21,44354937.08
2012-09-28,43735713.56
2012-10-05,47567053.49
2012-10-12,46128909.98
2012-10-19,45122443.96
2012-10-26,45544379.53
